Dat,Intercept,Value,Kg
174,-189989.40,-143918,1.7
175,-189989.40,-143711,1.7
176,-189989.40,-143792,1.7
177,-189989.40,-143916,1.7
178,-189989.40,-143869,1.7
179,-189989.40,-143710,1.7
180,-189989.40,-143856,1.7
181,-189989.40,-143913,1.7
182,-189989.40,-143754,1.7
183,-189989.40,-143694,1.7
184,-189989.40,-143934,1.7
185,-189989.40,-143862,1.7
186,-189989.40,-143854,1.7
187,-189989.40,-143782,1.7
188,-189989.40,-143846,1.7
189,-189989.40,-143992,1.7
190,-189989.40,-143893,1.7
191,-189989.40,-144023,1.7
192,-189989.40,-144020,1.7
193,-189989.40,-143943,1.7
194,-189989.40,-143849,1.7
195,-189989.40,-143929,1.7
196,-189989.40,-143894,1.7
197,-189989.40,-143931,1.7
198,-189989.40,-143845,1.7
199,-189989.40,-143974,1.7
200,-189989.40,-74901,4.1
201,-189989.40,-75044,4.1
202,-189989.40,-74992,4.1
203,-189989.40,-74926,4.1
204,-189989.40,-74827,4.1
205,-189989.40,-74933,4.1
206,-189989.40,-74978,4.1
207,-189989.40,-74827,4.1
208,-189989.40,-74921,4.1
209,-189989.40,-74867,4.1
210,-189989.40,-75053,4.1
211,-189989.40,-74989,4.1
212,-189989.40,-74803,4.1
213,-189989.40,-74787,4.1
214,-189989.40,-74820,4.1
215,-189989.40,-75168,4.1
216,-189989.40,-75052,4.1
217,-189989.40,-74906,4.1
218,-189989.40,-75054,4.1
219,-189989.40,-74939,4.1
220,-189989.40,-74986,4.1
221,-189989.40,-75060,4.1
222,-189989.40,-75026,4.1
223,-189989.40,-75009,4.1
224,-189989.40,-74979,4.1
225,-189989.40,-74948,4.1
226,-189989.40,-75002,4.1
227,-189989.40,-75011,4.1
228,-189989.40,-74984,4.1
229,-189989.40,-74920,4.1
230,-189989.40,-75143,4.1
231,-189989.40,-74911,4.1
232,-189989.40,-75031,4.1
233,-189989.40,-74766,4.1
234,-189989.40,-74959,4.1
235,-189989.40,-74972,4.1
236,-189989.40,-74953,4.1
237,-189989.40,-74826,4.1
238,-189989.40,-75097,4.1
239,-189989.40,-74905,4.1
240,-189989.40,-74851,4.1
241,-189989.40,-75080,4.1
242,-189989.40,-74933,4.1
243,-189989.40,-74862,4.1
244,-189989.40,-74918,4.1
245,-189989.40,-75083,4.1
246,-189989.40,-74999,4.1
247,-189989.40,-74973,4.1
248,-189989.40,-75035,4.1
249,-189989.40,-74985,4.1
250,-189989.40,-74957,4.1
251,-189989.40,-75070,4.1
252,-189989.40,-74926,4.1
253,-189989.40,-75051,4.1
254,-189989.40,-74992,4.1
255,-189989.40,-75110,4.1
256,-189989.40,-74936,4.1
257,-189989.40,-74992,4.1
258,-189989.40,-74867,4.1
259,-189989.40,-75003,4.1
260,-189989.40,-74863,4.1
261,-189989.40,-74821,4.1
262,-189989.40,-74906,4.1
263,-189989.40,-74875,4.1
264,-189989.40,-74985,4.1
265,-189989.40,-74998,4.1
266,-189989.40,-74940,4.1
267,-189989.40,-75007,4.1
268,-189989.40,-74952,4.1
269,-189989.40,-74776,4.1
270,-189989.40,-75050,4.1
271,-189989.40,-74930,4.1
272,-189989.40,-74974,4.1
273,-189989.40,-74826,4.1
274,-189989.40,-74997,4.1
275,-189989.40,-75053,4.1
276,-189989.40,-74988,4.1
277,-189989.40,-74985,4.1
278,-189989.40,-74987,4.1
279,-189989.40,-74872,4.1
280,-189989.40,-75005,4.1
281,-189989.40,-75025,4.1
282,-189989.40,-75070,4.1
283,-189989.40,-74952,4.1
284,-189989.40,-75017,4.1
285,-189989.40,-74771,4.1
286,-189989.40,-74887,4.1
287,-189989.40,-74821,4.1
288,-189989.40,-74976,4.1
289,-189989.40,-74948,4.1
290,-189989.40,-75008,4.1
291,-189989.40,-75041,4.1
292,-189989.40,-74888,4.1
293,-189989.40,-75086,4.1
294,-189989.40,-74890,4.1
295,-189989.40,-74947,4.1
296,-189989.40,-74937,4.1
297,-189989.40,-74965,4.1
298,-189989.40,-75072,4.1
299,-189989.40,-74969,4.1
300,-189989.40,-13967,6.3
301,-189989.40,-13988,6.3
302,-189989.40,-14095,6.3
303,-189989.40,-13895,6.3
304,-189989.40,-13983,6.3
305,-189989.40,-13942,6.3
306,-189989.40,-13741,6.3
307,-189989.40,-13977,6.3
308,-189989.40,-14228,6.3
309,-189989.40,-13943,6.3
310,-189989.40,-13820,6.3
311,-189989.40,-13830,6.3
312,-189989.40,-13860,6.3
313,-189989.40,-13860,6.3
314,-189989.40,-14041,6.3
315,-189989.40,-13836,6.3
316,-189989.40,-14019,6.3
317,-189989.40,-13921,6.3
318,-189989.40,-13889,6.3
319,-189989.40,-13762,6.3
