host_unix_time_ns,lsl_timestamp_s,device_clock_us,value_raw,value_filtered,sequence,parser_mode,raw_line
1775177682998154699,31217.786462187,977848,-191116.0,-44.57227799817338,88,tagged_csv,"D,88,977848,-191116.00"
1775177683010596379,31217.798903897,990348,-190979.0,-47.693051677546464,89,tagged_csv,"D,89,990348,-190979.00"
1775177683023247511,31217.811555094,1002848,-190836.0,-40.17323652160121,90,tagged_csv,"D,90,1002848,-190836.00"
1775177683035939610,31217.824247359,1015348,-190908.0,-38.44409462882322,91,tagged_csv,"D,91,1015348,-190908.00"
1775177683048420793,31217.836728444,1027848,-190876.0,-34.510613498685416,92,tagged_csv,"D,92,1027848,-190876.00"
1775177683061019934,31217.849327741,1040348,-190814.0,-26.348699019668857,93,tagged_csv,"D,93,1040348,-190814.00"
1775177683073530922,31217.861838452,1052848,-190968.0,-29.995497383264592,94,tagged_csv,"D,94,1052848,-190968.00"
1775177683086015561,31217.874323207,1065348,-191017.0,-36.944938888045726,95,tagged_csv,"D,95,1065348,-191017.00"
1775177683098544985,31217.886852418,1077848,-190981.0,-40.76678028333117,96,tagged_csv,"D,96,1077848,-190981.00"
1775177683111154438,31217.899462179,1090348,-191119.0,-54.35954322826001,97,tagged_csv,"D,97,1090348,-191119.00"
1775177683123653462,31217.911960997,1102848,-190861.0,-48.17478345427662,98,tagged_csv,"D,98,1102848,-190861.00"
1775177683136192401,31217.924500139,1115348,-191000.0,-52.56245150839095,99,tagged_csv,"D,99,1115348,-191000.00"
1775177683148806025,31217.937113629,1127848,-190865.0,-46.79983889308642,100,tagged_csv,"D,100,1127848,-190865.00"
1775177683161412719,31217.949720237,1140348,-190913.0,-44.95224699078244,101,tagged_csv,"D,101,1140348,-190913.00"
1775177683173849361,31217.962157070,1152848,-191041.0,-52.560222574858926,102,tagged_csv,"D,102,1152848,-191041.00"
1775177683186453169,31217.974760996,1165348,-191006.0,-57.06546377093764,103,tagged_csv,"D,103,1165348,-191006.00"
1775177683198926974,31217.987234874,1177848,-190863.0,-50.8292985050939,104,tagged_csv,"D,104,1177848,-190863.00"
1775177683211531094,31217.999838704,1190348,-190982.0,-53.71289429956232,105,tagged_csv,"D,105,1190348,-190982.00"
1775177683223991906,31218.012299398,1202848,-190803.0,-43.351634417427704,106,tagged_csv,"D,106,1202848,-190803.00"
1775177683236660017,31218.024967782,1215348,-190813.0,-34.47309180482989,107,tagged_csv,"D,107,1215348,-190813.00"
1775177683249096225,31218.037403900,1227848,-191053.0,-43.718010868440615,108,tagged_csv,"D,108,1227848,-191053.00"
1775177683261653368,31218.049960914,1240348,-190873.0,-39.18201896213577,109,tagged_csv,"D,109,1240348,-190873.00"
1775177683274266034,31218.062573767,1252848,-191043.0,-47.3558264914609,110,tagged_csv,"D,110,1252848,-191043.00"
1775177683286766160,31218.075073656,1265348,-190914.0,-45.54056779737584,111,tagged_csv,"D,111,1265348,-190914.00"
1775177683299241236,31218.087548804,1277848,-191016.0,-51.28518888479448,112,tagged_csv,"D,112,1277848,-191016.00"
1775177683311804036,31218.100111558,1290348,-190888.0,-47.29045884445077,113,tagged_csv,"D,113,1290348,-190888.00"
1775177683324323426,31218.112630936,1302848,-190859.0,-41.474832365784096,114,tagged_csv,"D,114,1302848,-190859.00"
1775177683336841254,31218.125148766,1315348,-190784.0,-30.621164724754635,115,tagged_csv,"D,115,1315348,-190784.00"
1775177683349453157,31218.137760693,1327848,-190949.0,-32.57325033453526,116,tagged_csv,"D,116,1327848,-190949.00"
1775177683361959201,31218.150266843,1340348,-190832.0,-25.863184751098743,117,tagged_csv,"D,117,1340348,-190832.00"
1775177683374552477,31218.162859980,1352848,-190983.0,-30.637646116229007,118,tagged_csv,"D,118,1352848,-190983.00"
1775177683387056508,31218.175364102,1365348,-190895.0,-28.656224159989506,119,tagged_csv,"D,119,1365348,-190895.00"
1775177683399584024,31218.187891855,1377848,-190767.0,-17.498065448191483,120,tagged_csv,"D,120,1377848,-190767.00"
