Intercept,Value,Kg,,3.55,3.56,3.57,Err with diff grads
-192396.5,-191539,0,857.5,0.03044125,0.030527,0.03061275,8.57500000000008E-05
-192396.5,-191628,0,768.5,0.02728175,0.0273586,0.02743545,7.68500000000016E-05
-192396.5,-191712,0,684.5,0.02429975,0.0243682,0.02443665,6.84500000000029E-05
-192396.5,-191731,0,665.5,0.02362525,0.0236918,0.02375835,6.65500000000003E-05
-192396.5,-191718,0,678.5,0.02408675,0.0241546,0.02422245,6.7850000000003E-05
-192396.5,-191546,0,850.5,0.03019275,0.0302778,0.03036285,8.50500000000032E-05
-192396.5,-191720,0,676.5,0.02401575,0.0240834,0.02415105,6.76500000000007E-05
-192396.5,-191645,0,751.5,0.02667825,0.0267534,0.02682855,7.51500000000013E-05
-192396.5,-191526,0,870.5,0.03090275,0.0309898,0.03107685,8.70500000000034E-05
-192396.5,-191562,0,834.5,0.02962475,0.0297082,0.02979165,8.34500000000023E-05
-192396.5,-191539,0,857.5,0.03044125,0.030527,0.03061275,8.57500000000008E-05
-192396.5,-191741,0,655.5,0.02327025,0.0233358,0.02340135,6.5550000000001E-05
-192396.5,-191757,0,639.5,0.02270225,0.0227662,0.02283015,6.39500000000018E-05
-192396.5,-191694,0,702.5,0.02493875,0.025009,0.02507925,7.02500000000009E-05
-192396.5,-191738,0,658.5,0.02337675,0.0234426,0.02350845,6.58500000000027E-05
-192396.5,-191733,0,663.5,0.02355425,0.0236206,0.02368695,6.63500000000015E-05
-192396.5,-191615,0,781.5,0.02774325,0.0278214,0.02789955,7.81500000000025E-05
-192396.5,-191733,0,663.5,0.02355425,0.0236206,0.02368695,6.63500000000015E-05
-192396.5,-191702,0,694.5,0.02465475,0.0247242,0.02479365,6.94500000000021E-05
-192396.5,-191641,0,755.5,0.02682025,0.0268958,0.02697135,7.55500000000006E-05
-192396.5,-191728,0,668.5,0.02373175,0.0237986,0.02386545,6.6850000000002E-05
-192396.5,-191766,0,630.5,0.02238275,0.0224458,0.02250885,6.3050000000002E-05
-192396.5,-191718,0,678.5,0.02408675,0.0241546,0.02422245,6.7850000000003E-05
-192396.5,-191613,0,783.5,0.02781425,0.0278926,0.02797095,7.83500000000013E-05
-192396.5,-191677,0,719.5,0.02554225,0.0256142,0.02568615,7.19500000000012E-05
-192396.5,-191690,0,706.5,0.02508075,0.0251514,0.02522205,7.0650000000002E-05
-192396.5,-191824,0,572.5,0.02032375,0.020381,0.02043825,5.725E-05
-192396.5,-191523,0,873.5,0.03100925,0.0310966,0.03118395,8.73500000000034E-05
-192396.5,-191551,0,845.5,0.03001525,0.0300998,0.03018435,8.45500000000044E-05
-192396.5,-191738,0,658.5,0.02337675,0.0234426,0.02350845,6.58500000000027E-05
-192396.5,199016,14.1,391412.5,13.89514375,13.934285,13.97342625,0.039141249999999
-192396.5,198970,14.1,391366.5,13.89351075,13.9326474,13.97178405,0.039136650000001
-192396.5,199213,14.1,391609.5,13.90213725,13.9412982,13.98045915,0.03916095
-192396.5,198930,14.1,391326.5,13.89209075,13.9312234,13.97035605,0.039132650000002
-192396.5,199054,14.1,391450.5,13.89649275,13.9356378,13.97478285,0.039145050000002
-192396.5,199101,14.1,391497.5,13.89816125,13.937311,13.97646075,0.039149750000001
-192396.5,199160,14.1,391556.5,13.90025575,13.9394114,13.97856705,0.039155650000001
-192396.5,199233,14.1,391629.5,13.90284725,13.9420102,13.98117315,0.039162950000002
-192396.5,199349,14.1,391745.5,13.90696525,13.9461398,13.98531435,0.039174550000001
-192396.5,199176,14.1,391572.5,13.90082375,13.939981,13.97913825,0.039157250000001
-192396.5,199283,14.1,391679.5,13.90462225,13.9437902,13.98295815,0.039167950000001
-192396.5,199165,14.1,391561.5,13.90043325,13.9395894,13.97874555,0.039156150000001
-192396.5,199174,14.1,391570.5,13.90075275,13.9399098,13.97906685,0.039157050000001
-192396.5,199136,14.1,391532.5,13.89940375,13.938557,13.97771025,0.039153250000001
-192396.5,199169,14.1,391565.5,13.90057525,13.9397318,13.97888835,0.039156550000001
-192396.5,199207,14.1,391603.5,13.90192425,13.9410846,13.98024495,0.03916035
-192396.5,199252,14.1,391648.5,13.90352175,13.9426866,13.98185145,0.03916485
-192396.5,199300,14.1,391696.5,13.90522575,13.9443954,13.98356505,0.039169650000001
-192396.5,199302,14.1,391698.5,13.90529675,13.9444666,13.98363645,0.03916985
-192396.5,199241,14.1,391637.5,13.90313125,13.942295,13.98145875,0.03916375
-192396.5,199252,14.1,391648.5,13.90352175,13.9426866,13.98185145,0.03916485
-192396.5,199308,14.1,391704.5,13.90550975,13.9446802,13.98385065,0.039170450000002
-192396.5,199297,14.1,391693.5,13.90511925,13.9442886,13.98345795,0.039169350000001
-192396.5,199291,14.1,391687.5,13.90490625,13.944075,13.98324375,0.03916875
-192396.5,199420,14.1,391816.5,13.90948575,13.9486674,13.98784905,0.03918165
-192396.5,199213,14.1,391609.5,13.90213725,13.9412982,13.98045915,0.03916095
-192396.5,199279,14.1,391675.5,13.90448025,13.9436478,13.98281535,0.039167550000001
-192396.5,199385,14.1,391781.5,13.90824325,13.9474214,13.98659955,0.039178150000001
-192396.5,199330,14.1,391726.5,13.90629075,13.9454634,13.98463605,0.039172650000001
-192396.5,199256,14.1,391652.5,13.90366375,13.942829,13.98199425,0.03916525
-192396.5,199410,14.1,391806.5,13.90913075,13.9483114,13.98749205,0.039180650000001
-192396.5,199112,14.1,391508.5,13.89855175,13.9377026,13.97685345,0.03915085
-192396.5,199259,14.1,391655.5,13.90377025,13.9429358,13.98210135,0.039165550000001
-192396.5,199425,14.1,391821.5,13.90966325,13.9488454,13.98802755,0.039182150000001
-192396.5,199212,14.1,391608.5,13.90210175,13.9412626,13.98042345,0.039160850000001
-192396.5,199292,14.1,391688.5,13.90494175,13.9441106,13.98327945,0.03916885
-192396.5,199402,14.1,391798.5,13.90884675,13.9480266,13.98720645,0.03917985
-192396.5,199392,14.1,391788.5,13.90849175,13.9476706,13.98684945,0.039178850000001
-192396.5,199257,14.1,391653.5,13.90369925,13.9428646,13.98202995,0.03916535
-192396.5,199465,14.1,391861.5,13.91108325,13.9502694,13.98945555,0.039186150000002
-192396.5,199469,14.1,391865.5,13.91122525,13.9504118,13.98959835,0.039186550000001
-192396.5,199490,14.1,391886.5,13.91197075,13.9511594,13.99034805,0.039188650000001
-192396.5,199299,14.1,391695.5,13.90519025,13.9443598,13.98352935,0.039169550000001
-192396.5,199286,14.1,391682.5,13.90472875,13.943897,13.98306525,0.03916825
-192396.5,199406,14.1,391802.5,13.90898875,13.948169,13.98734925,0.03918025
-192396.5,199380,14.1,391776.5,13.90806575,13.9472434,13.98642105,0.039177650000002
-192396.5,199411,14.1,391807.5,13.90916625,13.948347,13.98752775,0.039180750000001
-192396.5,199385,14.1,391781.5,13.90824325,13.9474214,13.98659955,0.039178150000001
-192396.5,199304,14.1,391700.5,13.90536775,13.9445378,13.98370785,0.039170050000001
-192396.5,199302,14.1,391698.5,13.90529675,13.9444666,13.98363645,0.03916985
-192396.5,199489,14.1,391885.5,13.91193525,13.9511238,13.99031235,0.039188550000001
-192396.5,199315,14.1,391711.5,13.90575825,13.9449294,13.98410055,0.039171150000001
-192396.5,199354,14.1,391750.5,13.90714275,13.9463178,13.98549285,0.039175050000002
-192396.5,199439,14.1,391835.5,13.91016025,13.9493438,13.98852735,0.039183550000002
-192396.5,199381,14.1,391777.5,13.90810125,13.947279,13.98645675,0.03917775
-192396.5,199450,14.1,391846.5,13.91055075,13.9497354,13.98892005,0.039184650000001
-192396.5,199425,14.1,391821.5,13.90966325,13.9488454,13.98802755,0.039182150000001
-192396.5,199511,14.1,391907.5,13.91271625,13.951907,13.99109775,0.03919075
-192396.5,199548,14.1,391944.5,13.91402975,13.9532242,13.99241865,0.039194450000002
-192396.5,199499,14.1,391895.5,13.91229025,13.9514798,13.99066935,0.039189550000001
