filter,n_events,peak_value,peak_error_vs_raw,peak_time_shift_s,rise_10_90_shift_s,max_dfdt_ratio_vs_raw,plateau_std_last20pct,rest_std,rest_bandpower_30_49_hz
identity,2.0,2066367.0,0.0,0.0,0.0,1.0,212324.76623628053,91.8346864181156,9605.373047552313
notch_45p95hz,3.0,2066302.6759055075,-64.32409449247643,0.0,0.0,0.9997803676692191,212324.46753403396,91.36542873696663,8122.056810599291
butter_lowpass_15hz,2.0,2061983.2866850395,-4383.713314960478,0.0,-0.009999999999999787,0.8648325993529017,216700.18618020992,78.52705155586861,0.5823771669040627
butter_lowpass_12hz,2.0,2060841.0953642493,-5525.904635750689,-0.010000000000001563,-0.009999999999999787,0.801670251746989,216697.88239565946,76.11812902905771,0.07872006182712023
notch_45p95hz_then_lowpass_12hz,2.0,2060836.1699127841,-5530.8300872158725,-0.010000000000001563,-0.009999999999999787,0.801544208228118,216697.87315640785,76.11271516251097,0.07656166056178805
butter_lowpass_10hz,2.0,2059398.7237650538,-6968.276234946214,0.0,-0.009999999999999787,0.7790619671214678,216690.37680776257,74.35779154910958,0.01628028663744133
butter_lowpass_8hz,2.0,2056964.7336785293,-9402.266321470728,0.0,-0.019999999999999574,0.7549956394472376,220753.72554106702,72.46058839797455,0.0024819331866765366
highpass_0p05hz,1.0,1086976.9928601708,-979390.0071398292,0.0,3.3400000000000016,1.0686546969209179,406097.68518361036,66.24468790315716,9605.373047703895
bandpass_0p05_12hz,1.0,1081454.064991754,-984912.935008246,0.0,3.419999999999998,0.7254717128298529,406478.88686137093,41.94751384616375,0.0764332528914004
highpass_0p10hz,4.0,781036.6878936063,-1285330.3121063937,0.14000000000000057,-0.8199999999999985,1.1854303606392358,297508.94910359837,66.11377074238773,9605.373047564946
bandpass_0p10_12hz,4.0,771173.0633247291,-1295193.936675271,0.14000000000000057,-0.8499999999999996,0.8044230283414542,297884.2631765685,41.76334179525027,0.07420339398761873
