host_unix_time_ns,lsl_timestamp_s,seq,device_clock_us,target_raw_count,target_current_units,target_filtered_units,target_status,raw_line
1778660661613744453,74960.206604172,45,532604,-211167.0,-211167.0,-211167.0,2,"D2,45,532604,-211167,-211167.000000,2"
1778660661623795177,74960.216604172,46,542604,-211320.0,-211320.0,-211187.0592853072,2,"D2,46,542604,-211320,-211320.000000,2"
1778660661633818944,74960.226604172,47,552604,-211176.0,-211176.0,-211223.29864505003,2,"D2,47,552604,-211176,-211176.000000,2"
1778660661648871807,74960.241604172,48,567604,-211335.0,-211335.0,-211248.084163546,2,"D2,48,567604,-211335,-211335.000000,2"
1778660661658971528,74960.251604172,49,577604,-211173.0,-211173.0,-211258.32688827103,2,"D2,49,577604,-211173,-211173.000000,2"
1778660661669059941,74960.261604172,50,587604,-211210.0,-211210.0,-211242.45767428807,2,"D2,50,587604,-211210,-211210.000000,2"
1778660661679060141,74960.271604172,51,597604,-211304.0,-211304.0,-211228.58926376852,2,"D2,51,597604,-211304,-211304.000000,2"
1778660661689148240,74960.281604172,52,607604,-211458.0,-211458.0,-211272.22779429,2,"D2,52,607604,-211458,-211458.000000,2"
1778660661699171449,74960.291604172,53,617604,-211399.0,-211399.0,-211353.6049125692,2,"D2,53,617604,-211399,-211399.000000,2"
1778660661709169739,74960.301604172,54,627604,-211311.0,-211311.0,-211395.76124622353,2,"D2,54,627604,-211311,-211311.000000,2"
1778660661724236293,74960.316604172,55,642604,-211388.0,-211388.0,-211384.41841161755,2,"D2,55,642604,-211388,-211388.000000,2"
1778660661734260498,74960.326604172,56,652604,-211292.0,-211292.0,-211360.52758570208,2,"D2,56,652604,-211292,-211292.000000,2"
1778660661744216908,74960.336604172,57,662604,-211289.0,-211289.0,-211330.27941373084,2,"D2,57,662604,-211289,-211289.000000,2"
1778660661754361876,74960.346604172,58,672604,-211231.0,-211231.0,-211293.18656737555,2,"D2,58,672604,-211231,-211231.000000,2"
1778660661764358484,74960.356604172,59,682604,-211490.0,-211490.0,-211292.03784412402,2,"D2,59,682604,-211490,-211490.000000,2"
1778660661774315428,74960.366604172,60,692604,-211232.0,-211232.0,-211327.75956903896,2,"D2,60,692604,-211232,-211232.000000,2"
1778660661784296967,74960.376604172,61,702604,-211346.0,-211346.0,-211336.0363670796,2,"D2,61,702604,-211346,-211346.000000,2"
1778660661799417298,74960.391604172,62,717604,-211319.0,-211319.0,-211325.0286128795,2,"D2,62,717604,-211319,-211319.000000,2"
1778660661809438038,74960.401604172,63,727604,-211263.0,-211263.0,-211315.06849110656,2,"D2,63,727604,-211263,-211263.000000,2"
1778660661819478793,74960.411604172,64,737604,-211261.0,-211261.0,-211292.13088692867,2,"D2,64,737604,-211261,-211261.000000,2"
