host_unix_time_ns,lsl_timestamp_s,seq,device_clock_us,target_raw_count,target_current_units,target_filtered_units,target_status,raw_line
1778660760738998932,75059.331860721,45,532604,-205960.0,-205960.0,-205960.0,2,"D2,45,532604,-205960,-205960.000000,2"
1778660760740084118,75059.341860721,46,542604,-205990.0,-205990.0,-205963.9331931975,2,"D2,46,542604,-205990,-205990.000000,2"
1778660760745567552,75059.351860721,47,552604,-206010.0,-206010.0,-205977.36290769992,2,"D2,47,552604,-206010,-206010.000000,2"
1778660760760786514,75059.366860721,48,567604,-206102.0,-206102.0,-206007.57407219626,2,"D2,48,567604,-206102,-206102.000000,2"
1778660760770785930,75059.376860721,49,577604,-205907.0,-205907.0,-206027.6898431289,2,"D2,49,577604,-205907,-205907.000000,2"
1778660760780849415,75059.386860721,50,587604,-205783.0,-205783.0,-205979.1813510318,2,"D2,50,587604,-205783,-205783.000000,2"
1778660760790794544,75059.396860721,51,597604,-205560.0,-205560.0,-205850.11452326772,2,"D2,51,597604,-205560,-205560.000000,2"
1778660760800859699,75059.406860721,52,607604,-205670.0,-205670.0,-205706.49551999703,2,"D2,52,607604,-205670,-205670.000000,2"
1778660760810884346,75059.416860721,53,617604,-205642.0,-205642.0,-205630.16840242944,2,"D2,53,617604,-205642,-205642.000000,2"
1778660760820984113,75059.426860721,54,627604,-205848.0,-205848.0,-205646.27472234325,2,"D2,54,627604,-205848,-205848.000000,2"
1778660760836010019,75059.441860721,55,642604,-205779.0,-205779.0,-205720.39476422075,2,"D2,55,642604,-205779,-205779.000000,2"
1778660760845933904,75059.451860721,56,652604,-205782.0,-205782.0,-205780.74510578738,2,"D2,56,652604,-205782,-205782.000000,2"
1778660760855914474,75059.461860721,57,662604,-205503.0,-205503.0,-205760.85945306494,2,"D2,57,662604,-205503,-205503.000000,2"
1778660760866149805,75059.471860721,58,672604,-205493.0,-205493.0,-205655.4857741203,2,"D2,58,672604,-205493,-205493.000000,2"
1778660760875988849,75059.481860721,59,682604,-205467.0,-205467.0,-205539.49205608072,2,"D2,59,682604,-205467,-205467.000000,2"
1778660760886090661,75059.491860721,60,692604,-205449.0,-205449.0,-205470.94898326427,2,"D2,60,692604,-205449,-205449.000000,2"
1778660760896218628,75059.501860721,61,702604,-205576.0,-205576.0,-205459.790356518,2,"D2,61,702604,-205576,-205576.000000,2"
1778660760911225678,75059.516860721,62,717604,-205538.0,-205538.0,-205496.0635796083,2,"D2,62,717604,-205538,-205538.000000,2"
1778660760921269615,75059.526860721,63,727604,-205629.0,-205629.0,-205544.842962651,2,"D2,63,727604,-205629,-205629.000000,2"
1778660760931212002,75059.536860721,64,737604,-205510.0,-205510.0,-205574.7232052385,2,"D2,64,737604,-205510,-205510.000000,2"
1778660760941332798,75059.546860721,65,747604,-205769.0,-205769.0,-205598.47277183284,2,"D2,65,747604,-205769,-205769.000000,2"
1778660760951355016,75059.556860721,66,757604,-205699.0,-205699.0,-205651.23261107184,2,"D2,66,757604,-205699,-205699.000000,2"
1778660760961316996,75059.566860721,67,767604,-205919.0,-205919.0,-205728.66594423697,2,"D2,67,767604,-205919,-205919.000000,2"
1778660760976535666,75059.581860721,68,782604,-205863.0,-205863.0,-205813.37515858476,2,"D2,68,782604,-205863,-205863.000000,2"
1778660760986417170,75059.591860721,69,792604,-205723.0,-205723.0,-205851.4458763146,2,"D2,69,792604,-205723,-205723.000000,2"
1778660760996528586,75059.601860721,70,802604,-205495.0,-205495.0,-205782.9116014032,2,"D2,70,802604,-205495,-205495.000000,2"
1778660761006729916,75059.611860721,71,812604,-205582.0,-205582.0,-205654.56581630354,2,"D2,71,812604,-205582,-205582.000000,2"
1778660761016454509,75059.621860721,72,822604,-205535.0,-205535.0,-205564.00453009005,2,"D2,72,822604,-205535,-205535.000000,2"
1778660761026491775,75059.631860721,73,832604,-205519.0,-205519.0,-205528.2059720962,2,"D2,73,832604,-205519,-205519.000000,2"
1778660761036615565,75059.641860721,74,842604,-205572.0,-205572.0,-205522.6795652983,2,"D2,74,842604,-205572,-205572.000000,2"
1778660761051669810,75059.656860721,75,857604,-205418.0,-205418.0,-205519.9010681876,2,"D2,75,857604,-205418,-205418.000000,2"
1778660761061538321,75059.666860721,76,867604,-205468.0,-205468.0,-205492.45088841693,2,"D2,76,867604,-205468,-205468.000000,2"
1778660761071614093,75059.676860721,77,877604,-205370.0,-205370.0,-205452.75211059436,2,"D2,77,877604,-205370,-205370.000000,2"
1778660761081712076,75059.686860721,78,887604,-205401.0,-205401.0,-205415.46090254048,2,"D2,78,887604,-205401,-205401.000000,2"
