host_unix_time_ns,lsl_timestamp_s,seq,device_clock_us,target_raw_count,target_current_units,target_filtered_units,target_status,raw_line
1778660720853851962,75019.446710668,45,532604,-208571.0,-208571.0,-208571.0,2,"D2,45,532604,-208571,-208571.000000,2"
1778660720854173241,75019.456710668,46,542604,-208629.0,-208629.0,-208578.6041735151,2,"D2,46,542604,-208629,-208629.000000,2"
1778660720864021915,75019.466710668,47,552604,-208595.0,-208595.0,-208595.04122025246,2,"D2,47,552604,-208595,-208595.000000,2"
1778660720879083040,75019.481710668,48,567604,-208509.0,-208509.0,-208592.67647807184,2,"D2,48,567604,-208509,-208509.000000,2"
1778660720889199046,75019.491710668,49,577604,-208270.0,-208270.0,-208528.0913740396,2,"D2,49,577604,-208270,-208270.000000,2"
1778660720899163759,75019.501710668,50,587604,-208149.0,-208149.0,-208390.6311389706,2,"D2,50,587604,-208149,-208149.000000,2"
1778660720909283033,75019.511710668,51,597604,-208554.0,-208554.0,-208295.45680339652,2,"D2,51,597604,-208554,-208554.000000,2"
1778660720919237285,75019.521710668,52,607604,-208734.0,-208734.0,-208375.63669085025,2,"D2,52,607604,-208734,-208734.000000,2"
1778660720929200634,75019.531710668,53,617604,-208704.0,-208704.0,-208557.86545219124,2,"D2,53,617604,-208704,-208704.000000,2"
1778660720939273951,75019.541710668,54,627604,-208636.0,-208636.0,-208679.12551967913,2,"D2,54,627604,-208636,-208636.000000,2"
1778660720954299350,75019.556710668,55,642604,-208549.0,-208549.0,-208687.02716564597,2,"D2,55,642604,-208549,-208549.000000,2"
1778660720964363286,75019.566710668,56,652604,-208384.0,-208384.0,-208606.56680820032,2,"D2,56,652604,-208384,-208384.000000,2"
1778660720974428695,75019.576710668,57,662604,-208071.0,-208071.0,-208448.54077641817,2,"D2,57,662604,-208071,-208071.000000,2"
1778660720984416980,75019.586710668,58,672604,-208123.0,-208123.0,-208255.38547207744,2,"D2,58,672604,-208123,-208123.000000,2"
1778660720994419440,75019.596710668,59,682604,-208108.0,-208108.0,-208124.595229659,2,"D2,59,682604,-208108,-208108.000000,2"
1778660721004391581,75019.606710668,60,692604,-208222.0,-208222.0,-208097.20193676633,2,"D2,60,692604,-208222,-208222.000000,2"
1778660721019408368,75019.621710668,61,707604,-208279.0,-208279.0,-208147.71932528293,2,"D2,61,707604,-208279,-208279.000000,2"
1778660721029454988,75019.631710668,62,717604,-208323.0,-208323.0,-208228.61349691122,2,"D2,62,717604,-208323,-208323.000000,2"
1778660721039435306,75019.641710668,63,727604,-208298.0,-208298.0,-208291.08646804985,2,"D2,63,727604,-208298,-208298.000000,2"
1778660721049526656,75019.651710668,64,737604,-208282.0,-208282.0,-208312.8981362145,2,"D2,64,737604,-208282,-208282.000000,2"
1778660721059616079,75019.661710668,65,747604,-208250.0,-208250.0,-208300.53411651467,2,"D2,65,747604,-208250,-208250.000000,2"
1778660721069652206,75019.671710668,66,757604,-208172.0,-208172.0,-208264.6361569811,2,"D2,66,757604,-208172,-208172.000000,2"
1778660721079744192,75019.681710668,67,767604,-208177.0,-208177.0,-208217.16524367075,2,"D2,67,767604,-208177,-208177.000000,2"
1778660721094739040,75019.696710668,68,782604,-208150.0,-208150.0,-208178.98385744912,2,"D2,68,782604,-208150,-208150.000000,2"
1778660721104758452,75019.706710668,69,792604,-208302.0,-208302.0,-208176.85848505312,2,"D2,69,792604,-208302,-208302.000000,2"
1778660721114825518,75019.716710668,70,802604,-208351.0,-208351.0,-208228.4033976687,2,"D2,70,802604,-208351,-208351.000000,2"
1778660721124771069,75019.726710668,71,812604,-208383.0,-208383.0,-208304.49869968824,2,"D2,71,812604,-208383,-208383.000000,2"
1778660721134941215,75019.736710668,72,822604,-208412.0,-208412.0,-208365.98776233493,2,"D2,72,822604,-208412,-208412.000000,2"
1778660721144928114,75019.746710668,73,832604,-208453.0,-208453.0,-208408.42928367679,2,"D2,73,832604,-208453,-208453.000000,2"
1778660721154952529,75019.756710668,74,842604,-208373.0,-208373.0,-208427.49265231105,2,"D2,74,842604,-208373,-208373.000000,2"
1778660721169914428,75019.771710668,75,857604,-208347.0,-208347.0,-208411.18438319146,2,"D2,75,857604,-208347,-208347.000000,2"
1778660721179974459,75019.781710668,76,867604,-208285.0,-208285.0,-208368.3652529745,2,"D2,76,867604,-208285,-208285.000000,2"
1778660721190048758,75019.791710668,77,877604,-208255.0,-208255.0,-208317.18576605682,2,"D2,77,877604,-208255,-208255.000000,2"
1778660721200109335,75019.801710668,78,887604,-208243.0,-208243.0,-208273.00204351617,2,"D2,78,887604,-208243,-208243.000000,2"
1778660721210108838,75019.811710668,79,897604,-208103.0,-208103.0,-208228.4591054556,2,"D2,79,897604,-208103,-208103.000000,2"
1778660721220101762,75019.821710668,80,907604,-208132.0,-208132.0,-208172.69685399666,2,"D2,80,907604,-208132,-208132.000000,2"
1778660721230150427,75019.831710668,81,917604,-208084.0,-208084.0,-208126.0798617304,2,"D2,81,917604,-208084,-208084.000000,2"
1778660721245156635,75019.846710668,82,932604,-208185.0,-208185.0,-208110.85711616732,2,"D2,82,932604,-208185,-208185.000000,2"
1778660721255182020,75019.856710668,83,942604,-208097.0,-208097.0,-208120.81657846237,2,"D2,83,942604,-208097,-208097.000000,2"
1778660721265182293,75019.866710668,84,952604,-208221.0,-208221.0,-208138.83223088225,2,"D2,84,952604,-208221,-208221.000000,2"
1778660721275280406,75019.876710668,85,962604,-208308.0,-208308.0,-208181.97631705014,2,"D2,85,962604,-208308,-208308.000000,2"
1778660721285287107,75019.886710668,86,972604,-208250.0,-208250.0,-208240.80041366714,2,"D2,86,972604,-208250,-208250.000000,2"
1778660721295320603,75019.896710668,87,982604,-208132.0,-208132.0,-208253.7713251324,2,"D2,87,982604,-208132,-208132.000000,2"
1778660721305432726,75019.906710668,88,992604,-208135.0,-208135.0,-208209.30606053345,2,"D2,88,992604,-208135,-208135.000000,2"
1778660721320654416,75019.921710668,89,1007604,-208169.0,-208169.0,-208162.29823868515,2,"D2,89,1007604,-208169,-208169.000000,2"
1778660721330569094,75019.931710668,90,1017604,-208114.0,-208114.0,-208141.3481104948,2,"D2,90,1017604,-208114,-208114.000000,2"
1778660721340593865,75019.941710668,91,1027604,-208025.0,-208025.0,-208116.84550007107,2,"D2,91,1027604,-208025,-208025.000000,2"
1778660721350661515,75019.951710668,92,1037604,-208122.0,-208122.0,-208086.39517517333,2,"D2,92,1037604,-208122,-208122.000000,2"
1778660721360710467,75019.961710668,93,1047604,-208215.0,-208215.0,-208096.25380341936,2,"D2,93,1047604,-208215,-208215.000000,2"
1778660721370706022,75019.971710668,94,1057604,-208118.0,-208118.0,-208136.30081006046,2,"D2,94,1057604,-208118,-208118.000000,2"
1778660721385765474,75019.986710668,95,1072604,-208130.0,-208130.0,-208151.89538921978,2,"D2,95,1072604,-208130,-208130.000000,2"
1778660721395736170,75019.996710668,96,1082604,-208184.0,-208184.0,-208150.16443096928,2,"D2,96,1082604,-208184,-208184.000000,2"
1778660721405896923,75020.006710668,97,1092604,-208326.0,-208326.0,-208178.9748489819,2,"D2,97,1092604,-208326,-208326.000000,2"
1778660721415869712,75020.016710668,98,1102604,-208236.0,-208236.0,-208233.50455758488,2,"D2,98,1102604,-208236,-208236.000000,2"
1778660721425913099,75020.026710668,99,1112604,-208375.0,-208375.0,-208279.68040785243,2,"D2,99,1112604,-208375,-208375.000000,2"
1778660721436080082,75020.036710668,100,1122604,-208355.0,-208355.0,-208321.39228964294,2,"D2,100,1122604,-208355,-208355.000000,2"
1778660721446059657,75020.046710668,101,1132604,-208445.0,-208445.0,-208364.79334438074,2,"D2,101,1132604,-208445,-208445.000000,2"
1778660721461195714,75020.061710668,102,1147604,-208316.0,-208316.0,-208389.95788576372,2,"D2,102,1147604,-208316,-208316.000000,2"
1778660721471224132,75020.071710668,103,1157604,-208190.0,-208190.0,-208358.415948729,2,"D2,103,1157604,-208190,-208190.000000,2"
1778660721481134194,75020.081710668,104,1167604,-208240.0,-208240.0,-208284.58283387023,2,"D2,104,1167604,-208240,-208240.000000,2"
1778660721491279980,75020.091710668,105,1177604,-208244.0,-208244.0,-208235.07307433547,2,"D2,105,1177604,-208244,-208244.000000,2"
1778660721501201259,75020.101710668,106,1187604,-208213.0,-208213.0,-208221.68856259302,2,"D2,106,1187604,-208213,-208213.000000,2"
1778660721511255452,75020.111710668,107,1197604,-208177.0,-208177.0,-208212.83306032204,2,"D2,107,1197604,-208177,-208177.000000,2"
1778660721521324430,75020.121710668,108,1207604,-208212.0,-208212.0,-208200.9392376745,2,"D2,108,1207604,-208212,-208212.000000,2"
1778660721536402280,75020.136710668,109,1222604,-208259.0,-208259.0,-208205.07538744484,2,"D2,109,1222604,-208259,-208259.000000,2"
1778660721546379598,75020.146710668,110,1232604,-208342.0,-208342.0,-208239.20059693875,2,"D2,110,1232604,-208342,-208342.000000,2"
1778660721556447685,75020.156710668,111,1242604,-208047.0,-208047.0,-208252.84240947795,2,"D2,111,1242604,-208047,-208047.000000,2"
1778660721566488264,75020.166710668,112,1252604,-207606.0,-207606.0,-208129.46531244155,2,"D2,112,1252604,-207606,-207606.000000,2"
1778660721576442533,75020.176714668,113,1262608,-207632.0,-207632.0,-207882.58823693523,2,"D2,113,1262608,-207632,-207632.000000,2"
1778660721586467246,75020.186710668,114,1272604,-208163.0,-208163.0,-207750.1784347908,2,"D2,114,1272604,-208163,-208163.000000,2"
1778660721596603601,75020.196710668,115,1282604,-208384.0,-208384.0,-207889.9857752868,2,"D2,115,1282604,-208384,-208384.000000,2"
1778660721611543708,75020.211710668,116,1297604,-208375.0,-208375.0,-208156.9627257018,2,"D2,116,1297604,-208375,-208375.000000,2"
1778660721621649187,75020.221710668,117,1307604,-208307.0,-208307.0,-208336.2469229408,2,"D2,117,1307604,-208307,-208307.000000,2"
1778660721631602782,75020.231710668,118,1317604,-208171.0,-208171.0,-208360.79768186767,2,"D2,118,1317604,-208171,-208171.000000,2"
1778660721641671498,75020.241710668,119,1327604,-208179.0,-208179.0,-208286.82529903657,2,"D2,119,1327604,-208179,-208179.000000,2"
1778660721651758440,75020.251710668,120,1337604,-208167.0,-208167.0,-208207.52041827916,2,"D2,120,1337604,-208167,-208167.000000,2"
1778660721661781669,75020.261710668,121,1347604,-208285.0,-208285.0,-208181.72633113773,2,"D2,121,1347604,-208285,-208285.000000,2"
